iter	RMSE
0	14.93564297
1	14.66446176
2	14.39632607
3	14.13975923
4	13.91562557
5	13.70960924
6	13.49202001
7	13.30118575
8	13.06662499
9	12.82793485
10	12.60460582
11	12.39667952
12	12.19982584
13	12.0394355
14	11.85704977
15	11.6639986
16	11.46708378
17	11.28975085
18	11.12396501
19	10.94933966
20	10.79474707
21	10.63853826
22	10.45629198
23	10.29354832
24	10.13952018
25	9.982500506
26	9.845111574
27	9.712475261
28	9.588692327
29	9.468498332
30	9.344500027
31	9.207724584
32	9.08754593
33	8.965980086
34	8.865498654
35	8.768312014
36	8.654509292
37	8.554251055
38	8.453548095
39	8.366236472
40	8.273161442
41	8.188354681
42	8.096787127
43	8.018740287
44	7.931277962
45	7.847623173
46	7.787209581
47	7.6966351
48	7.615340429
49	7.534566765
50	7.452182472
51	7.381304232
52	7.31436831
53	7.248614066
54	7.180589402
55	7.109900851
56	7.043035549
57	6.981192696
58	6.913345982
59	6.847000911
60	6.781289816
61	6.734472604
62	6.672785635
63	6.62771764
64	6.576979841
65	6.523169804
66	6.475413171
67	6.426399219
68	6.377517358
69	6.326575678
70	6.284162038
71	6.242581234
72	6.205851231
73	6.164794972
74	6.120203056
75	6.087808468
76	6.046534992
77	6.005828587
78	5.978701963
79	5.940092235
80	5.901777985
81	5.863851826
82	5.842856156
83	5.80781326
84	5.780731194
85	5.742817591
86	5.723178272
87	5.689601168
88	5.65771325
89	5.622153767
90	5.592132823
91	5.566107822
92	5.540730546
93	5.509395109
94	5.480248493
95	5.446793256
96	5.422954545
97	5.395757254
98	5.377581466
99	5.353499548
100	5.335910366
101	5.317991447
102	5.290879926
103	5.270309388
104	5.242834284
105	5.220284933
106	5.205762214
107	5.186212846
108	5.168552622
109	5.14454836
110	5.123525544
111	5.101538193
112	5.080837861
113	5.064523818
114	5.045545367
115	5.033422402
116	5.014638883
117	4.995307562
118	4.97886693
119	4.962006673
120	4.944609403
121	4.923474654
122	4.900064005
123	4.884476079
124	4.873165462
125	4.857874171
126	4.844074573
127	4.831053559
128	4.817703284
129	4.803320578
130	4.789278037
131	4.772001141
132	4.760150179
133	4.74173428
134	4.730934183
135	4.714663106
136	4.6953058
137	4.682179433
138	4.667889625
139	4.656582254
140	4.64371101
141	4.630007067
142	4.613232711
143	4.606310329
144	4.59217972
145	4.582757503
146	4.572464464
147	4.565176775
148	4.552759045
149	4.535436507
150	4.525465862
151	4.514685738
152	4.508434973
153	4.493060119
154	4.484266307
155	4.467367506
156	4.456707242
157	4.444649061
158	4.437999885
159	4.424931927
160	4.414993078
161	4.40052422
162	4.390091752
163	4.379840068
164	4.366537243
165	4.359494383
166	4.353923995
167	4.346645027
168	4.337150424
169	4.328550707
170	4.323304591
171	4.317087527
172	4.30159295
173	4.292515071
174	4.285126039
175	4.274493316
176	4.25993383
177	4.252305172
178	4.243320315
179	4.23442479
180	4.225207195
181	4.212123205
182	4.203116713
183	4.193254625
184	4.184409966
185	4.173682936
186	4.16472332
187	4.153361655
188	4.149073647
189	4.142268713
190	4.130501235
191	4.125708884
192	4.117418103
193	4.110264608
194	4.105681774
195	4.098369404
196	4.09149789
197	4.085302353
198	4.080227654
199	4.074130808
200	4.067858751
201	4.061262452
202	4.053765685
203	4.048484825
204	4.038507756
205	4.029520227
206	4.023965958
207	4.017526715
208	4.011944534
209	4.00632288
210	4.000126629
211	3.995908608
212	3.986626541
213	3.977213153
214	3.973531297
215	3.967098943
216	3.959558748
217	3.95252168
218	3.945948916
219	3.938675587
220	3.931036567
221	3.921794349
222	3.91733011
223	3.907736305
224	3.899252475
225	3.887080732
226	3.882365167
