iter	Passed	Remaining
0	56	56886
1	57	28518
2	57	19055
3	57	14322
4	57	11484
5	57	9590
6	58	8243
7	58	7230
8	58	6439
9	58	5808
10	58	5291
11	59	4859
12	59	4494
13	59	4177
14	59	3906
15	59	3669
16	59	3460
17	60	3275
18	60	3109
19	60	2959
20	60	2823
21	60	2699
22	60	2586
23	61	2483
24	61	2388
25	61	2300
26	61	2219
27	61	2143
28	61	2073
29	62	2008
30	62	1947
31	62	1889
32	62	1835
33	62	1785
34	62	1735
35	63	1690
36	63	1647
37	63	1607
38	63	1568
39	63	1532
40	64	1497
41	64	1464
42	64	1432
43	64	1400
44	64	1371
45	64	1343
46	64	1317
47	65	1291
48	65	1267
49	65	1243
50	65	1221
51	65	1199
52	65	1178
53	66	1159
54	66	1140
55	66	1122
56	66	1104
57	66	1086
58	67	1070
59	67	1054
60	67	1038
61	67	1023
62	67	1008
63	67	994
64	68	980
65	68	966
66	68	953
67	68	940
68	68	928
69	68	916
70	69	904
71	69	893
72	69	882
73	69	871
74	69	860
75	69	850
76	70	840
77	70	830
78	70	821
79	70	811
80	70	803
81	70	794
82	71	785
83	71	777
84	71	768
85	71	760
86	71	751
87	71	744
88	71	736
89	72	729
90	72	722
91	72	714
92	72	708
93	72	701
94	72	695
95	73	688
96	73	682
97	73	676
98	73	670
99	73	664
100	74	658
101	74	652
102	74	647
103	74	641
104	74	636
105	74	630
106	74	625
107	75	620
108	75	615
109	75	610
110	75	605
111	75	600
112	75	596
113	76	591
114	76	586
115	76	582
116	76	578
117	76	574
118	76	569
119	77	565
120	77	561
121	77	557
122	77	553
123	77	549
124	77	545
125	78	541
126	78	537
127	78	534
128	78	530
129	78	526
130	78	523
131	79	520
132	79	516
133	79	513
134	79	509
135	79	506
136	79	502
137	79	499
138	80	496
139	80	493
140	80	490
141	80	487
142	80	484
143	81	481
144	81	478
145	81	475
146	81	473
147	81	470
148	81	467
149	82	464
150	82	462
151	82	459
152	82	456
153	82	454
154	82	451
155	83	449
156	83	446
157	83	444
158	83	441
159	83	439
160	83	436
161	84	434
162	84	432
163	84	430
164	84	427
165	84	425
166	84	423
167	85	420
168	85	418
169	85	416
170	85	414
171	85	412
172	85	410
173	85	408
174	86	406
175	86	404
176	86	402
177	86	400
178	86	398
179	86	396
180	87	394
181	87	392
182	87	390
183	87	388
184	87	386
185	87	384
186	88	382
187	88	381
188	88	379
189	88	377
190	88	375
191	88	374
192	89	372
193	89	371
194	89	369
195	89	367
196	89	366
197	90	364
198	90	362
199	90	361
200	90	359
201	90	358
202	90	356
203	90	355
204	91	353
205	91	351
206	91	350
207	91	348
208	91	347
209	91	345
210	92	344
211	92	342
212	92	341
213	92	340
214	92	338
215	92	337
216	93	335
217	93	334
218	93	333
219	93	331
220	93	330
221	93	329
222	94	327
223	94	326
224	94	325
225	94	323
226	94	322
227	94	321
228	95	320
229	95	318
230	95	317
231	95	316
232	95	315
233	95	314
234	96	312
235	96	311
236	96	310
237	96	309
238	96	308
239	96	306
240	97	305
241	97	304
242	97	303
243	97	302
244	97	301
245	97	300
246	98	298
247	98	297
248	98	296
249	98	295
250	98	294
251	98	293
252	99	292
253	99	291
254	99	290
255	99	289
256	99	288
257	99	287
258	100	286
259	100	285
260	100	284
261	100	283
262	100	282
263	100	281
264	101	280
265	101	279
266	101	278
267	101	277
268	101	276
269	101	275
270	102	274
271	102	273
272	102	272
273	102	271
274	102	270
275	102	270
276	103	269
277	103	268
278	103	267
279	103	266
280	103	265
281	103	264
282	104	263
283	104	262
284	104	261
285	104	260
286	104	260
287	104	259
288	105	258
289	105	257
290	105	257
291	105	256
292	105	255
293	106	254
294	106	254
295	106	253
296	106	252
297	106	251
298	107	250
299	107	250
300	107	249
301	107	248
302	107	247
303	107	246
304	107	246
305	108	245
306	108	244
307	108	243
308	108	242
309	108	242
310	108	241
311	109	240
312	109	239
313	109	239
314	109	238
315	109	237
316	109	236
317	110	236
318	110	235
319	110	234
320	110	234
321	110	233
322	110	232
323	111	232
324	111	231
325	111	230
326	111	230
327	112	229
328	112	229
329	112	228
330	112	227
331	113	227
332	113	226
333	113	226
334	113	225
335	113	224
336	113	224
337	114	223
338	114	222
339	114	222
340	114	221
341	114	220
342	114	220
343	115	219
344	115	218
345	115	218
346	115	217
347	115	216
348	115	216
349	116	215
350	116	214
351	116	214
352	116	213
353	116	213
354	117	212
355	117	211
356	117	211
357	117	210
358	117	210
359	117	209
360	117	208
361	118	208
362	118	207
363	118	206
364	118	206
365	118	205
366	118	205
367	119	204
368	119	203
369	119	203
370	119	202
371	119	202
372	119	201
373	120	201
374	120	200
375	120	200
376	120	199
377	120	198
378	121	198
379	121	197
380	121	197
381	121	196
382	121	196
383	121	195
384	122	194
385	122	194
386	122	193
387	122	193
388	122	192
389	122	192
390	123	191
391	123	191
392	123	190
393	123	189
394	123	189
395	123	188
396	123	188
397	124	187
398	124	187
399	124	186
400	124	186
401	124	185
402	124	185
403	125	184
404	125	184
405	125	183
406	125	183
407	125	182
408	126	182
409	126	181
410	126	181
411	126	180
412	126	179
413	126	179
414	126	178
415	127	178
416	127	178
417	127	177
418	127	176
419	127	176
420	127	175
421	128	175
422	128	175
423	128	174
424	128	174
425	128	173
426	129	173
427	129	172
428	129	172
429	129	171
430	129	171
431	129	170
432	129	170
433	130	169
434	130	169
435	130	168
436	130	168
437	130	167
438	130	167
439	131	166
440	131	166
441	131	165
442	131	165
443	131	165
444	131	164
445	132	164
446	132	163
447	132	163
448	132	162
